    0.119623285531997681E+02    0.681049895286560059E+01    0.573132932186126709E+00    0.846500277519226074E+01    0.247032822920623272-322
    0.103902527689933777E+02    0.260373389720916748E+01    0.140779376029968262E+01    0.359522402286529541E+01    0.247032822920623272-322
    0.103219985961914062E+02    0.132472455501556396E+01    0.190920799970626831E+01    0.666688859462738037E+01    0.247032822920623272-322
    0.613824695348739624E+01    0.505301100015640259E+01    0.134061574935913086E+00    0.246258556842803955E+01    0.247032822920623272-322
    0.359460532665252686E+01    0.127612267732620239E+02    0.379107892513275146E-01    0.499045610427856445E+01    0.247032822920623272-322
    0.115479987859725952E+02    0.373574215173721313E+01    0.168864697217941284E+01    0.558392822742462158E+01    0.247032822920623272-322
    0.727047711610794067E+01    0.991364741325378418E+01    0.316186249256134033E-01    0.865938305854797363E+01    0.247032822920623272-322
    0.185718297958374023E+01    0.942345833778381348E+01    0.748351216316223145E+00    0.573113739490509033E+01    0.247032822920623272-322
    0.568885892629623413E+01    0.107076770663261414E+02    0.241691201925277710E+01    0.590074241161346436E+01    0.247032822920623272-322
    0.418800294399261475E+01    0.797309482097625732E+01    0.148347571492195129E+01    0.165264666080474854E+01    0.247032822920623272-322
    0.114380568265914917E+02    0.132632076740264893E+01    0.451174378395080566E+00    0.268721520900726318E+01    0.247032822920623272-322
    0.557423830032348633E+00    0.578093111515045166E+01    0.870028138160705566E+00    0.889380097389221191E+01    0.247032822920623272-322
    0.201146811246871948E+01    0.160247790813446045E+01    0.102646633982658386E+01    0.662706971168518066E+01    0.247032822920623272-322
    0.496709257364273071E+01    0.374262988567352295E+00    0.188443124294281006E+01    0.742315053939819336E+00    0.247032822920623272-322
    0.751650631427764893E+00    0.461235022544860840E+01    0.117086470127105713E+00    0.749661803245544434E+01    0.247032822920623272-322
    0.833101809024810791E+01    0.105250052809715271E+02    0.204423829913139343E+01    0.142790615558624268E+01    0.247032822920623272-322
    0.134814897179603577E+02    0.502346944808959961E+01    0.245646089315414429E+01    0.471729338169097900E+01    0.247032822920623272-322
    0.693833202123641968E+01    0.354061061143875122E+01    0.739695578813552856E+00    0.175386667251586914E-01    0.247032822920623272-322
    0.136282199621200562E+02    0.105438677072525024E+02    0.164356678724288940E+01    0.196408212184906006E+01    0.247032822920623272-322
    0.256668895483016968E+01    0.381112444400787354E+01    0.100924402475357056E+01    0.199790179729461670E+01    0.247032822920623272-322
    0.338773638010025024E+01    0.127649158835411072E+02    0.127080455422401428E+01    0.309457242488861084E+01    0.247032822920623272-322
    0.121700423955917358E+02    0.336108863353729248E+00    0.137680247426033020E+01    0.875170469284057617E+01    0.247032822920623272-322
    0.105395302176475525E+02    0.769193905591964722E+01    0.210214465856552124E+01    0.557642102241516113E+01    0.247032822920623272-322
    0.100115507841110229E+02    0.128040626049041748E+02    0.195113465189933777E+01    0.831983149051666260E+01    0.247032822920623272-322
    0.652955979108810425E+01    0.102296037077903748E+02    0.120466813445091248E+01    0.473051667213439941E+00    0.247032822920623272-322
    0.947461098432540894E+01    0.122619997262954712E+02    0.243170857429504395E+00    0.892808318138122559E+01    0.247032822920623272-322
    0.659355998039245605E+01    0.412906825542449951E+01    0.712759047746658325E+00    0.556758403778076172E+01    0.247032822920623272-322
    0.565523207187652588E+01    0.781393772363662720E+01    0.228682726621627808E+01    0.925361633300781250E+01    0.247032822920623272-322
    0.116720384359359741E+02    0.262199425697326660E+01    0.160962522029876709E+01    0.607209444046020508E+01    0.247032822920623272-322
    0.111928287148475647E+02    0.126277284026145935E+02    0.182644203305244446E+01    0.500374436378479004E+00    0.247032822920623272-322
