    0.102839333843972636E+01   -0.168906483245826328E+00    0.181127880747321529E+00    0.234403999131262131E+01    0.801877426452681091E-01    0.645134222507476807E+01    0.739600914309085922E+00    0.793500781059265137E+01    0.547528266906738281E-01    0.781412245736284428E+00    0.444870056726113727E+01    0.898781785289094248E+00    0.242838079265472295E+02   -0.999000000000000022+100   -0.599146350544150419E+01    1
    0.882607054631085131E+00    0.125676276067344050E+00    0.728403724097244909E-01    0.245321414589205119E+03    0.473884399680016273E+02    0.105394816398620605E+01    0.106873219437660302E+00    0.772895514965057373E+01    0.161950898170471191E+01    0.113616972106222747E+01    0.342551242269696576E+01    0.879284300820533438E+00    0.103112290074017622E+03   -0.999000000000000022+100   -0.599396350544151169E+01    1
    0.138006107556237145E+01   -0.194866176724600548E+00   -0.132304999395998463E+00    0.285671394014079850E-01    0.963670095900102996E+00    0.838546025753021240E+01    0.158074634474646825E+01    0.897799193859100342E+01    0.120974469184875488E+01    0.366626152787222659E+00    0.550232257839326433E+01    0.897106113814931883E+00    0.321452534407369805E+01   -0.999000000000000022+100   -0.599646350544151474E+01    1
    0.871018946101345670E+00    0.536613205370529769E-01   -0.479493931206311161E-01    0.303131646883380554E+02    0.374509144673602057E+01    0.829041051864624023E+01    0.191232538785369477E+01    0.111677438020706177E+02    0.842603683471679688E+00    0.730314742035805264E+00    0.446619876293934670E+01    0.905804230830062007E+00    0.175914196510087306E+01   -0.999000000000000022+100   -0.599896350544151957E+01    1
    0.101783788889941329E+01    0.731792761939187991E-01   -0.198067700025897686E+00    0.349988610987813434E-01    0.296279512922799117E-01    0.979364252090454102E+01    0.888216506845608711E+00    0.141710096597671509E+02    0.449541330337524414E+00    0.768879544897944744E+00    0.166776718580951355E+01    0.942183628987702804E+00    0.590381698867503175E+02   -0.999000000000000022+100   -0.600146350544151552E+01    1
    0.121616790119456941E+01    0.283335673815746814E+00   -0.138199556502419052E+00    0.394854233348027328E+00    0.325028783967946566E+01    0.815032804012298584E+01    0.107323652500626879E+00    0.828702002763748169E+01    0.155951964855194092E+01    0.773828686151878609E+00    0.266704569755724386E+01    0.937248043532613928E+00    0.835768044694390596E+03   -0.999000000000000022+100   -0.600396350544151858E+01    1
    0.911802512796888731E+00   -0.288678594813184142E+00   -0.380514488962225006E+00    0.291723625290480348E+00    0.258220809694581988E+03    0.619855105876922607E+01    0.102293363345943233E+01    0.101875117421150208E+02    0.108152711391448975E+01    0.131094220873583600E+01    0.227143365344493242E+01    0.823317311599974566E+00    0.132809519551564428E+02   -0.999000000000000022+100   -0.600646350544151630E+01    1
    0.961286450078036370E+00    0.964808932184761242E-01    0.484459675307568005E+00    0.283535934900894626E+00    0.254670522690765111E+02    0.274425971508026123E+01    0.730469091457006559E+00    0.147952410578727722E+02    0.155251526832580566E+01    0.425621876390713250E+00    0.407368606030389913E+01    0.913717694337490394E+00    0.806172057370290531E+03   -0.999000000000000022+100   -0.600896350544152469E+01    1
    0.674816567700160963E+00    0.919765118662679571E-01   -0.336784662623988873E+00    0.701233839072817222E+00    0.130947855671189658E-01    0.215922045707702637E+01    0.112111056274850163E+01    0.132139304280281067E+02    0.172097349166870117E+01    0.786898934888846435E+00    0.651448675089276197E+01    0.864319345857387233E+00    0.352544958128367114E+03   -0.999000000000000022+100   -0.601146350544151886E+01    1
    0.126221421391616850E+01   -0.108261584140076347E+00    0.633241744777420512E-01    0.151661171828060104E+00    0.300648797160071872E+02    0.659618616104125977E+01    0.116891536182272882E+01    0.115861558914184570E+02    0.632596492767333984E+00    0.746889425340644175E+00    0.106792245195963065E+01    0.878525151906379920E+00    0.620860147806216247E+02   -0.999000000000000022+100   -0.601396350544150859E+01    1
