

    0.267275389972183550E-91    0.732995001769593182E+04    0.931233098045997187E+00    0.300182478579711087E+00    0.434614802979999437E+00    0.278018165256265271E+00    0.720615695013407387E-01    0.117660661381242182E+02    0.964581820588640948E+00    0.289110723388066626E+01    0.134603643529574235E+01    0.720569118573769263E+00    0.435516158619197213E+01    0.934291326241461051E+00    0.571310136878782714E+03
    0.224411457992119751E-55    0.716451348763446003E+04    0.109530143579997175E+01    0.357769929276960330E+00    0.141367425953673576E+00    0.779625467374535086E+00    0.551026575497078213E+02    0.119267700066756550E+02    0.165616527866726915E+01    0.169632449144293718E+01    0.145025690433112886E+01    0.541606471095075204E+00    0.447416700555777069E+01    0.879697628249716090E+00    0.188020089066378290E+03
    0.789880174693618037E-85    0.730015179316722697E+04    0.128295415952784553E+01    0.358727521118562931E+00    0.343163190388469042E+00    0.416160818547644917E+00    0.670604476564238627E+01    0.121442416466180276E+02    0.101480597366979741E+01    0.121350315289187494E+01    0.165174262065701760E+01    0.621951508064958358E+00    0.394385933121640919E+01    0.923624216124934727E+00    0.460247793023149370E+03
    0.425591413432766059E-55    0.716323349057505402E+04    0.119551156684525850E+01    0.492393941894388454E+00    0.221703020572193404E+00    0.259186680473486919E+00    0.301907448643924026E+01    0.119028071803223607E+02    0.186276180927133606E+01    0.258107236499398596E+01    0.158279223264707913E+01    0.513810911419902538E+00    0.388389598211016995E+01    0.914865021725851935E+00    0.229832890195712906E+03
    0.462856249134721147E-67    0.721832765927445416E+04    0.932906467271654716E+00    0.451907868098330279E+00    0.345953747032132497E+00    0.148524374413394455E+01    0.196653596943463338E+01    0.118091632912631006E+02    0.887570941824786908E+00    0.286390181730945415E+01    0.153826715349621801E+01    0.792450632171936009E+00    0.444031078645180166E+01    0.876781129761589062E+00    0.501162441009851250E+03
    0.168462800946063109E-89    0.732166280650484441E+04    0.806015024428110349E+00    0.435645501074558072E+00    0.120284370754697487E+00    0.548942184841805014E+00    0.561500997982228434E+01    0.117862182246304030E+02    0.743681827247577698E+00    0.222427265152831977E+01    0.162040481092587108E+01    0.677748548500244685E+00    0.446817534987685949E+01    0.880361960267555310E+00    0.552227609753725915E+03
    0.370220572885689754E-50    0.714048640122845154E+04    0.885090450773632798E+00    0.338969328894678401E+00    0.185897944362255874E+00    0.285344191560147009E+00    0.889519564595097734E+00    0.116870152097871998E+02    0.300843305139060491E+00    0.533812193359370202E+01    0.177444577558439098E+01    0.644511205113903474E+00    0.546231503453472023E+01    0.871549177652308660E+00    0.831266230620959391E+03
    0.353837804356648086E-83    0.729254753805125074E+04    0.102336352283512877E+01    0.268940445145481488E+00    0.180371129901934824E+00    0.696253685281431889E-01    0.425590180497804838E+01    0.119101071360364141E+02    0.776581359629238133E+00    0.122350965561055935E+01    0.191826344332219545E+01    0.348322332139883006E+00    0.566873609274076262E+01    0.910689397838677084E+00    0.556027994384136377E+03
    0.476739611657089660E-84    0.729655644458529423E+04    0.875781963821317899E+00    0.105931597404618633E+00    0.114768609462762364E+00    0.889234020791905944E+00    0.167884594691177180E+01    0.114490507202818481E+02    0.745506672460775732E+00    0.248102650069779429E+01    0.911012327287988644E+00    0.647131978361411453E+00    0.430813871120019876E+01    0.860255120083893821E+00    0.817171611212150992E+03
    0.327185785441780779E-38    0.708547150061697721E+04    0.101813714474209482E+01    0.366798476635006795E-01    0.137301772807353228E+00    0.254193434711541211E+00    0.943777036726013097E+00    0.113805484696710124E+02    0.185477278149065650E+01    0.568158097304978149E+01    0.781452394326290101E+00    0.611246553112680613E+00    0.494930558075394256E+01    0.903302013260138148E+00    0.857118646606601715E+03
    0.795318022543579400E-96    0.735079494359976161E+04    0.125086737345026400E+01    0.440641326350198814E+00    0.201298873796352001E+00    0.528120354476908860E+00    0.145015416373449835E+01    0.115164455763739930E+02    0.106088778922810834E+01    0.328939441799354126E+01    0.969301052318429890E+00    0.504257446724504899E+00    0.498680802070048301E+01    0.857044691656807411E+00    0.940760083536647358E+03
    0.777978204888595299E-96    0.735083903070679571E+04    0.105370103104787494E+01    0.346400489214352819E-01    0.158507188936295423E+00    0.602233494456514765E-01    0.141935611926372403E+02    0.116746886590142260E+02    0.121376142611767568E+01    0.928283955504752289E+00    0.102949866882393914E+01    0.481201099555073286E+00    0.580575669967982844E+01    0.955018937738046025E+00    0.792736757550701782E+03
    0.393436311696882910E-64    0.720483714336633602E+04    0.124684320388548153E+01    0.128019074855920595E+00    0.249808684455076480E+00    0.513924858862553485E-01    0.165203992149527468E+00    0.117359913341997153E+02    0.940532933465059173E+00    0.393488332025488052E+01    0.133219784509759775E+01    0.565893824067997042E+00    0.494893168541022366E+01    0.846911534450938808E+00    0.489252490651168841E+03
    0.874589036184988649E-25    0.702363783631445858E+04    0.858782383526623061E+00    0.257293046593701558E+00    0.206370657609408203E+00    0.357680292989928761E+00    0.327703318781767783E+00    0.117605701076832094E+02    0.151065634404529425E+01    0.467780906120920648E+01    0.147726782415772129E+01    0.623875667640543918E+00    0.510357163692124871E+01    0.848002557896886722E+00    0.686276917700721583E+03
